RUN,REGION,YEAR,VALUE
nz-2050_hp-01,E07000208,2040,467.3628246464224
nz-2050_hp-01,E07000208,2045,451.03989545748095
nz-2050_hp-01,E07000208,2050,531.0337667323384
nz-2050_hp-01,E07000208,2055,517.5669511929714
nz-2050_hp-01,E07000208,2060,798.9625318231825
nz-2050_hp-01,E07000209,2015,522.7407359750205
nz-2050_hp-01,E07000209,2021,690.3528512593365
nz-2050_hp-01,E07000209,2023,622.3443927080768
nz-2050_hp-01,E07000209,2025,549.9622523923651
nz-2050_hp-01,E07000209,2030,559.1375194448333
nz-2050_hp-01,E07000209,2035,554.4953758662577
nz-2050_hp-01,E07000209,2040,519.2185361606968
nz-2050_hp-01,E07000209,2045,459.1933604724031
nz-2050_hp-01,E07000209,2050,522.7191170118958
nz-2050_hp-01,E07000209,2055,472.9187927001603
nz-2050_hp-01,E07000209,2060,727.8084092764491
nz-2050_hp-01,E07000210,2015,570.3036661660611
nz-2050_hp-01,E07000210,2021,750.3594360857762
nz-2050_hp-01,E07000210,2023,678.6542463953285
nz-2050_hp-01,E07000210,2025,596.3497613488958
nz-2050_hp-01,E07000210,2030,605.226145791485
nz-2050_hp-01,E07000210,2035,596.7220428339374
nz-2050_hp-01,E07000210,2040,557.0829976977129
nz-2050_hp-01,E07000210,2045,489.481051672478
nz-2050_hp-01,E07000210,2050,547.7624549898509
nz-2050_hp-01,E07000210,2055,492.7101387238484
nz-2050_hp-01,E07000210,2060,748.3994826193465
nz-2050_hp-01,E07000211,2015,472.7743030958719
nz-2050_hp-01,E07000211,2021,630.4381907715265
nz-2050_hp-01,E07000211,2023,551.6068953945811
nz-2050_hp-01,E07000211,2025,490.0551751409789
nz-2050_hp-01,E07000211,2030,490.4350256005441
nz-2050_hp-01,E07000211,2035,488.1837920147882
nz-2050_hp-01,E07000211,2040,474.7555125608992
nz-2050_hp-01,E07000211,2045,452.58309765345666
nz-2050_hp-01,E07000211,2050,498.1425887710848
nz-2050_hp-01,E07000211,2055,500.11236877390166
nz-2050_hp-01,E07000211,2060,760.9801601803595
nz-2050_hp-01,E07000212,2015,509.8160083026306
nz-2050_hp-01,E07000212,2021,660.4403180072577
nz-2050_hp-01,E07000212,2023,591.7784199429464
nz-2050_hp-01,E07000212,2025,526.8173415330615
nz-2050_hp-01,E07000212,2030,530.3417389532675
nz-2050_hp-01,E07000212,2035,526.3605408294864
nz-2050_hp-01,E07000212,2040,512.5904371550359
nz-2050_hp-01,E07000212,2045,462.5793369936092
nz-2050_hp-01,E07000212,2050,508.5185577581737
nz-2050_hp-01,E07000212,2055,481.4459717587407
nz-2050_hp-01,E07000212,2060,789.4040208813627
nz-2050_hp-01,E07000213,2015,472.26024576416904
nz-2050_hp-01,E07000213,2021,611.1329151981552
nz-2050_hp-01,E07000213,2023,541.5470498023825
nz-2050_hp-01,E07000213,2025,483.90091191567393
nz-2050_hp-01,E07000213,2030,479.6827530526448
