REGION,PROPERTY_TYPE,YEAR,VALUE
E06000012,Flats,2015,8931.5
E06000012,Flats,2021,8903.5
E06000012,Flats,2023,8945.5
E06000012,Flats,2025,9006.0
E06000012,Flats,2030,9100.8
E06000012,Flats,2035,9200.6
E06000012,Flats,2040,9300.4
E06000012,Flats,2045,9380.8
E06000012,Flats,2050,9464.0
E06000012,Flats,2055,9549.4
E06000012,Flats,2060,9600.0
E06000012,Semi-detached,2015,29511.5
E06000012,Semi-detached,2021,29812.5
E06000012,Semi-detached,2023,29917.5
E06000012,Semi-detached,2025,30129.6
E06000012,Semi-detached,2030,30458.2
E06000012,Semi-detached,2035,30801.6
E06000012,Semi-detached,2040,31105.2
E06000012,Semi-detached,2045,31379.8
E06000012,Semi-detached,2050,31660.2
E06000012,Semi-detached,2055,31941.4
E06000012,Semi-detached,2060,32114.0
E06000012,Terraced,2015,25517.0
E06000012,Terraced,2021,25776.5
E06000012,Terraced,2023,25878.5
E06000012,Terraced,2025,26057.4
E06000012,Terraced,2030,26336.6
E06000012,Terraced,2035,26640.2
E06000012,Terraced,2040,26901.8
E06000012,Terraced,2045,27130.2
E06000012,Terraced,2050,27377.0
E06000012,Terraced,2055,27624.4
E06000012,Terraced,2060,27764.0
E06000013,Detached,2015,15742.5
E06000013,Detached,2021,16176.0
E06000013,Detached,2023,16350.0
E06000013,Detached,2025,16609.2
E06000013,Detached,2030,16985.4
E06000013,Detached,2035,17316.8
E06000013,Detached,2040,17583.0
E06000013,Detached,2045,17835.8
E06000013,Detached,2050,18100.8
E06000013,Detached,2055,18377.6
E06000013,Detached,2060,18537.0
E06000013,Flats,2015,6978.166666666667
E06000013,Flats,2021,7130.0
E06000013,Flats,2023,7211.0
E06000013,Flats,2025,7330.0
E06000013,Flats,2030,7502.6
E06000013,Flats,2035,7646.6
E06000013,Flats,2040,7760.4
E06000013,Flats,2045,7871.6
E06000013,Flats,2050,7988.2
E06000013,Flats,2055,8118.0
E06000013,Flats,2060,8190.0
E06000013,Semi-detached,2015,40041.5
E06000013,Semi-detached,2021,40663.0
E06000013,Semi-detached,2023,41058.0
E06000013,Semi-detached,2025,41755.6
E06000013,Semi-detached,2030,42684.6
E06000013,Semi-detached,2035,43506.4
