YEAR,RUN,TECHNOLOGY,VALUE
2035,nz-2040_hp-00,Oil boiler,21434.17620141271
2035,nz-2040_hp-00,Electric storage heater,267.7454178178224
2035,nz-2040_hp-00,Electric resistance heater,5516.089469954162
2035,nz-2040_hp-00,Biomass boiler,354.8865702774867
2035,nz-2040_hp-00,Heat interface unit,12065.032439502498
2035,nz-2040_hp-00,Air-source HP,806218.0929863706
2035,nz-2040_hp-00,Ground-source HP,408.33986298710687
2035,nz-2040_hp-00,H2 boiler,204.79351126005358
2035,nz-2040_hp-00,Building retrofit,90626.04211223619
2035,nz-2040_hp-01,Gas boiler,663184.7578143101
2035,nz-2040_hp-01,Oil boiler,17866.3724176398
2035,nz-2040_hp-01,Electric storage heater,405.4994200002509
2035,nz-2040_hp-01,Electric resistance heater,1622.217947941022
2035,nz-2040_hp-01,Biomass boiler,883.513146771184
2035,nz-2040_hp-01,Heat interface unit,74251.68151406349
2035,nz-2040_hp-01,Air-source HP,828169.5470300438
2035,nz-2040_hp-01,Ground-source HP,341.01449387326977
2035,nz-2040_hp-01,H2 boiler,4980.3111351695725
2035,nz-2040_hp-01,Building retrofit,92081.91852439757
2035,nz-2045_hp-00,Gas boiler,687065.1780885846
2035,nz-2045_hp-00,Oil boiler,15723.138939120092
2035,nz-2045_hp-00,Electric storage heater,328.87348316506905
2035,nz-2045_hp-00,Electric resistance heater,1085.0723524581897
2035,nz-2045_hp-00,Biomass boiler,574.8084976641892
2035,nz-2045_hp-00,Heat interface unit,116423.18816836897
2035,nz-2045_hp-00,Air-source HP,771685.6977534184
2035,nz-2045_hp-00,Ground-source HP,393.1204934521774
2035,nz-2045_hp-00,H2 boiler,28.91682161473229
2035,nz-2045_hp-00,Building retrofit,90478.84409332425
2035,nz-2045_hp-01,Gas boiler,510214.2226854843
2035,nz-2045_hp-01,Oil boiler,8093.851323020682
2035,nz-2045_hp-01,Electric storage heater,342.83781744737024
2035,nz-2045_hp-01,Electric resistance heater,65394.37364459077
2035,nz-2045_hp-01,Biomass boiler,714.9717176302412
2035,nz-2045_hp-01,Heat interface unit,135180.76631040033
2035,nz-2045_hp-01,Air-source HP,834866.6184014989
2035,nz-2045_hp-01,Ground-source HP,28425.363590587585
2035,nz-2045_hp-01,H2 boiler,277.27706321524863
2035,nz-2045_hp-01,Building retrofit,100276.55093294391
2035,nz-2050_hp-00,Gas boiler,1074235.0866734681
2035,nz-2050_hp-00,Oil boiler,88700.36926857475
2035,nz-2050_hp-00,Electric storage heater,168.16764240613674
2035,nz-2050_hp-00,Electric resistance heater,119358.38719343302
2035,nz-2050_hp-00,Biomass boiler,1154.4760621066375
2035,nz-2050_hp-00,Heat interface unit,290351.44191512075
2035,nz-2050_hp-00,Air-source HP,19161.717987224787
2035,nz-2050_hp-00,Ground-source HP,339.7352766853713
2035,nz-2050_hp-00,H2 boiler,0.03301430580221947
2035,nz-2050_hp-00,Building retrofit,90317.4041396352
2035,nz-2050_hp-01,Gas boiler,833335.4594432537
2035,nz-2050_hp-01,Oil boiler,23611.077141340305
2035,nz-2050_hp-01,Electric storage heater,595.9332106157925
2035,nz-2050_hp-01,Electric resistance heater,294815.86418339226
2035,nz-2050_hp-01,Biomass boiler,2492.5896833784054
2035,nz-2050_hp-01,Heat interface unit,317104.11298826773
2035,nz-2050_hp-01,Air-source HP,91108.8418763777
2035,nz-2050_hp-01,Ground-source HP,339.7518015864668
2035,nz-2050_hp-01,H2 boiler,248.66303775742742
2035,nz-2050_hp-01,Building retrofit,120134.53804393581
2040,nz-2040_hp-00,Gas boiler,303499.472162508
2040,nz-2040_hp-00,Oil boiler,184.0333766371781
2040,nz-2040_hp-00,Electric storage heater,0.025683270866193975
2040,nz-2040_hp-00,Electric resistance heater,26157.592325362693
2040,nz-2040_hp-00,Biomass boiler,143.9894590763429
2040,nz-2040_hp-00,Heat interface unit,11395.03108908829
2040,nz-2040_hp-00,Air-source HP,1195321.2552485878
2040,nz-2040_hp-00,Ground-source HP,61622.611627759354
2040,nz-2040_hp-00,H2 boiler,7505.7147211303445
2040,nz-2040_hp-00,Building retrofit,104928.83623889892
2040,nz-2040_hp-01,Gas boiler,228405.69314297018
2040,nz-2040_hp-01,Oil boiler,180.9388641974085
2040,nz-2040_hp-01,Electric storage heater,0.005837465132609665
2040,nz-2040_hp-01,Electric resistance heater,20.240838628943163
2040,nz-2040_hp-01,Biomass boiler,47.14295054726886
2040,nz-2040_hp-01,Heat interface unit,71775.49836190238
2040,nz-2040_hp-01,Air-source HP,1141576.974802932
2040,nz-2040_hp-01,Ground-source HP,38123.67317342047
2040,nz-2040_hp-01,H2 boiler,205393.5989484677
2040,nz-2040_hp-01,Building retrofit,100256.03860847704
2040,nz-2045_hp-00,Gas boiler,281681.08941178257
2040,nz-2045_hp-00,Oil boiler,183.4482732019076
2040,nz-2045_hp-00,Electric storage heater,0.010021243248581599
2040,nz-2045_hp-00,Electric resistance heater,5706.569741553762
2040,nz-2045_hp-00,Biomass boiler,50.28087936771553
2040,nz-2045_hp-00,Heat interface unit,147731.35323335775
2040,nz-2045_hp-00,Air-source HP,1118996.2618925206
2040,nz-2045_hp-00,Ground-source HP,55448.43569130361
2040,nz-2045_hp-00,H2 boiler,2596.5552833439656
2040,nz-2045_hp-00,Building retrofit,98364.55165739472
2040,nz-2045_hp-01,Gas boiler,221293.55665659858
2040,nz-2045_hp-01,Oil boiler,113.54507831195383
2040,nz-2045_hp-01,Electric storage heater,0.010159031588849279
2040,nz-2045_hp-01,Electric resistance heater,29122.19133303747
2040,nz-2045_hp-01,Biomass boiler,221.0683538992088
2040,nz-2045_hp-01,Heat interface unit,138792.2502385232
2040,nz-2045_hp-01,Air-source HP,1163627.272741747
2040,nz-2045_hp-01,Ground-source HP,51895.95677042558
2040,nz-2045_hp-01,H2 boiler,1468.8123635534237
2040,nz-2045_hp-01,Building retrofit,104223.88786640309
2040,nz-2050_hp-00,Gas boiler,979060.376213384
2040,nz-2050_hp-00,Oil boiler,186461.85302158108
2040,nz-2050_hp-00,Electric storage heater,0.00040607957171041973
2040,nz-2050_hp-00,Electric resistance heater,126719.30199687585
2040,nz-2050_hp-00,Biomass boiler,263.16867074784466
2040,nz-2050_hp-00,Heat interface unit,315929.8996797733
2040,nz-2050_hp-00,Air-source HP,11868.119931627016
2040,nz-2050_hp-00,Ground-source HP,16.374194910133813
2040,nz-2050_hp-00,H2 boiler,0.018479993672541203
2040,nz-2050_hp-00,Building retrofit,90439.42652177601
2040,nz-2050_hp-01,Gas boiler,403463.1104789818
2040,nz-2050_hp-01,Oil boiler,118.29297453137089
2040,nz-2050_hp-01,Electric storage heater,0.023083145160731556
2040,nz-2050_hp-01,Electric resistance heater,523421.45138949045
2040,nz-2050_hp-01,Biomass boiler,909.019377885236
2040,nz-2050_hp-01,Heat interface unit,512802.95902030135
2040,nz-2050_hp-01,Air-source HP,144897.54929642618
2040,nz-2050_hp-01,Ground-source HP,16.395438109752714
2040,nz-2050_hp-01,H2 boiler,2765.2648028398003
2040,nz-2050_hp-01,Building retrofit,122364.48743615649
2045,nz-2040_hp-00,Gas boiler,0.0
2045,nz-2040_hp-00,Oil boiler,0.0
2045,nz-2040_hp-00,Electric storage heater,0.03942418993564544
2045,nz-2040_hp-00,Electric resistance heater,116486.54114561251
2045,nz-2040_hp-00,Biomass boiler,254.42438407719223
2045,nz-2040_hp-00,Heat interface unit,8920.007903977916
2045,nz-2040_hp-00,Air-source HP,1344345.4511076354
2045,nz-2040_hp-00,Ground-source HP,143750.44777332144
2045,nz-2040_hp-00,H2 boiler,9392.257538408452
2045,nz-2040_hp-00,Building retrofit,113991.99619237696
2045,nz-2040_hp-01,Gas boiler,0.0
2045,nz-2040_hp-01,Oil boiler,0.0
2045,nz-2040_hp-01,Electric storage heater,0.008342919474662997
