,RUN,REGION,EMISSION,VALUE
530,HP,E07000180,CD,2045
531,HP,E07000181,CD,2045
532,HP,E07000192,CD,2050
533,HP,E07000193,CD,2050
534,HP,E07000194,CD,2045
535,HP,E07000195,CD,2045
536,HP,E07000196,CD,2045
537,HP,E07000197,CD,2045
538,HP,E07000198,CD,2045
539,HP,E07000199,CD,2050
540,HP,E07000200,CD,2045
541,HP,E07000202,CD,2050
542,HP,E07000203,CD,2045
543,HP,E07000207,CD,2050
544,HP,E07000208,CD,2050
545,HP,E07000209,CD,2050
546,HP,E07000210,CD,2045
547,HP,E07000211,CD,2050
548,HP,E07000212,CD,2050
549,HP,E07000213,CD,2050
550,HP,E07000214,CD,2050
551,HP,E07000215,CD,2045
552,HP,E07000216,CD,2045
553,HP,E07000217,CD,2050
554,HP,E07000218,CD,2045
555,HP,E07000219,CD,2050
556,HP,E07000220,CD,2045
557,HP,E07000221,CD,2045
558,HP,E07000222,CD,2050
559,HP,E07000223,CD,2050
560,HP,E07000224,CD,2050
561,HP,E07000225,CD,2045
562,HP,E07000226,CD,2050
563,HP,E07000227,CD,2045
564,HP,E07000228,CD,2045
565,HP,E07000229,CD,2050
566,HP,E07000234,CD,2045
567,HP,E07000235,CD,2045
568,HP,E07000236,CD,2050
569,HP,E07000237,CD,2050
570,HP,E07000238,CD,2045
571,HP,E07000239,CD,2050
572,HP,E07000240,CD,2050
573,HP,E07000241,CD,2050
574,HP,E07000242,CD,2045
575,HP,E07000243,CD,2050
576,HP,E07000244,CD,2045
577,HP,E07000245,CD,2045
578,HP,E08000001,CD,2050
579,HP,E08000002,CD,2050
580,HP,E08000003,CD,2050
581,HP,E08000004,CD,2050
582,HP,E08000005,CD,2050
583,HP,E08000006,CD,2050
584,HP,E08000007,CD,2050
585,HP,E08000008,CD,2050
586,HP,E08000009,CD,2050
587,HP,E08000010,CD,2050
588,HP,E08000011,CD,2050
589,HP,E08000012,CD,2050
590,HP,E08000013,CD,2050
591,HP,E08000014,CD,2050
592,HP,E08000015,CD,2050
593,HP,E08000016,CD,2050
