TECHNOLOGY,RUN,YEAR,VALUE
Building heating,nz-2040_hp-00,2015,8.55405436016043
Building heating,nz-2040_hp-00,2023,9.578661522190702
Building heating,nz-2040_hp-00,2025,8.789390365625623
Building heating,nz-2040_hp-00,2030,8.973503306319664
Building heating,nz-2040_hp-00,2035,10.421684425564868
Building heating,nz-2040_hp-00,2040,13.368207841926985
Building heating,nz-2040_hp-00,2045,14.490486629914765
Building heating,nz-2040_hp-00,2050,13.948304067712366
Building heating,nz-2040_hp-00,2055,13.504449612334708
Building heating,nz-2040_hp-01,2015,8.557606832644314
Building heating,nz-2040_hp-01,2023,9.465363202952396
Building heating,nz-2040_hp-01,2025,8.498076736825515
Building heating,nz-2040_hp-01,2030,8.984634834411967
Building heating,nz-2040_hp-01,2035,11.055876936445154
Building heating,nz-2040_hp-01,2040,13.077775904818274
Building heating,nz-2040_hp-01,2045,12.92704889409528
Building heating,nz-2040_hp-01,2050,12.643318564642914
Building heating,nz-2040_hp-01,2055,12.603972032168413
Building heating,nz-2045_hp-00,2015,8.533180438516878
Building heating,nz-2045_hp-00,2023,9.433553481690737
Building heating,nz-2045_hp-00,2025,8.48966093264962
Building heating,nz-2045_hp-00,2030,8.666587577293168
Building heating,nz-2045_hp-00,2035,10.391016449396849
Building heating,nz-2045_hp-00,2040,12.613966965558697
Building heating,nz-2045_hp-00,2045,13.666819715830098
Building heating,nz-2045_hp-00,2050,13.258259972322026
Building heating,nz-2045_hp-00,2055,12.609193927635237
Building heating,nz-2045_hp-01,2015,8.776358070098592
Building heating,nz-2045_hp-01,2023,9.697222565701843
Building heating,nz-2045_hp-01,2025,8.7399473066982
Building heating,nz-2045_hp-01,2030,9.339658961906542
Building heating,nz-2045_hp-01,2035,10.794029184560936
Building heating,nz-2045_hp-01,2040,12.624853946947516
Building heating,nz-2045_hp-01,2045,13.567791233296923
Building heating,nz-2045_hp-01,2050,13.30290714431697
Building heating,nz-2045_hp-01,2055,12.61958778649986
Building heating,nz-2050_hp-00,2015,8.576771797185684
Building heating,nz-2050_hp-00,2023,9.216297928844174
Building heating,nz-2050_hp-00,2025,7.551292100258833
Building heating,nz-2050_hp-00,2030,6.675505578519812
Building heating,nz-2050_hp-00,2035,6.134546527466682
Building heating,nz-2050_hp-00,2040,6.239636157948085
Building heating,nz-2050_hp-00,2045,6.324196175529089
Building heating,nz-2050_hp-00,2050,6.3568463551454615
Building heating,nz-2050_hp-00,2055,6.273729415363683
Building heating,nz-2050_hp-01,2015,8.589540704016526
Building heating,nz-2050_hp-01,2023,9.212093604439621
Building heating,nz-2050_hp-01,2025,7.590897940152487
Building heating,nz-2050_hp-01,2030,6.758419871350582
Building heating,nz-2050_hp-01,2035,6.469394253641428
Building heating,nz-2050_hp-01,2040,6.789812688893806
Building heating,nz-2050_hp-01,2045,7.439451924152635
Building heating,nz-2050_hp-01,2050,7.604491328431806
Building heating,nz-2050_hp-01,2055,7.663302455831671
Wet heating system,nz-2040_hp-00,2015,1.1740642717345358
Wet heating system,nz-2040_hp-00,2023,1.2365716185530917
Wet heating system,nz-2040_hp-00,2025,1.307492921761227
Wet heating system,nz-2040_hp-00,2030,1.4974258890030996
Wet heating system,nz-2040_hp-00,2035,1.7821476894407393
Wet heating system,nz-2040_hp-00,2040,2.0933664127931304
Wet heating system,nz-2040_hp-00,2045,2.1622901107942942
Wet heating system,nz-2040_hp-00,2050,2.149987841347651
Wet heating system,nz-2040_hp-00,2055,2.126611469296482
Wet heating system,nz-2040_hp-01,2015,1.1701018808751227
Wet heating system,nz-2040_hp-01,2023,1.2522792702748238
Wet heating system,nz-2040_hp-01,2025,1.3198162214039644
Wet heating system,nz-2040_hp-01,2030,1.5179703079842317
Wet heating system,nz-2040_hp-01,2035,1.783374385920673
Wet heating system,nz-2040_hp-01,2040,2.0680289825856892
Wet heating system,nz-2040_hp-01,2045,2.130096794500281
Wet heating system,nz-2040_hp-01,2050,2.1241396024310326
Wet heating system,nz-2040_hp-01,2055,2.1085740322138835
Wet heating system,nz-2045_hp-00,2015,1.1732250609049835
Wet heating system,nz-2045_hp-00,2023,1.2555437753106204
Wet heating system,nz-2045_hp-00,2025,1.3223844715031108
Wet heating system,nz-2045_hp-00,2030,1.4953283731370497
Wet heating system,nz-2045_hp-00,2035,1.7400340776451753
Wet heating system,nz-2045_hp-00,2040,2.050006777785182
